+--------+-----------+-----------------------------------------------------------+---------------------------------+-----------------------------------------------------------------------------------+----------------------------------------------------------------------------------------+
| Domain | Method    | URI                                                       | Name                            | Action                                                                            | Middleware                                                                             |
+--------+-----------+-----------------------------------------------------------+---------------------------------+-----------------------------------------------------------------------------------+----------------------------------------------------------------------------------------+
|        | GET|HEAD  | /                                                         |                                 | App\Http\Controllers\InicioController@index                                       | web                                                                                    |
|        | GET|HEAD  | acerca-de                                                 | acerca-de                       | Closure                                                                           | web                                                                                    |
|        | POST      | assistants/{assistant}/events                             | assistants.events.store         | App\Http\Controllers\Asistente\AssistantEventController@store                     | web,can:view,assistant                                                                 |
|        | GET|HEAD  | assistants/{assistant}/events                             | assistants.events.index         | App\Http\Controllers\Asistente\AssistantEventController@index                     | web,can:view,assistant                                                                 |
|        | PUT|PATCH | assistants/{assistant}/events/{event}                     | assistants.events.update        | App\Http\Controllers\Asistente\AssistantEventController@update                    | web,can:view,assistant                                                                 |
|        | GET|HEAD  | assistants/{assistant}/events/{event}                     | assistants.events.show          | App\Http\Controllers\Asistente\AssistantEventController@show                      | web,can:view,assistant                                                                 |
|        | GET|HEAD  | assistants/{assistant}/events/{event}/datosDeposito       | datosDepositoEvento             | App\Http\Controllers\Asistente\AssistantEventController@descargarDatosDeposito    | web,can:view,assistant                                                                 |
|        | POST      | assistants/{assistant}/subevents                          | assistants.subevents.store      | App\Http\Controllers\Asistente\AssistantSubeventController@store                  | web,can:view,assistant                                                                 |
|        | GET|HEAD  | assistants/{assistant}/subevents                          | assistants.subevents.index      | App\Http\Controllers\Asistente\AssistantSubeventController@index                  | web,can:view,assistant                                                                 |
|        | PUT|PATCH | assistants/{assistant}/subevents/{subevent}               | assistants.subevents.update     | App\Http\Controllers\Asistente\AssistantSubeventController@update                 | web,can:view,assistant                                                                 |
|        | GET|HEAD  | assistants/{assistant}/subevents/{subevent}               | assistants.subevents.show       | App\Http\Controllers\Asistente\AssistantSubeventController@show                   | web,can:view,assistant                                                                 |
|        | GET|HEAD  | assistants/{assistant}/subevents/{subevent}/datosDeposito | datosDepositoSubevento          | App\Http\Controllers\Asistente\AssistantSubeventController@descargarDatosDeposito | web,can:view,assistant                                                                 |
|        | GET|HEAD  | collaborators                                             | collaborators.index             | App\Http\Controllers\Colaborador\CollaboratorController@index                     | web                                                                                    |
|        | GET|HEAD  | collaborators/{collaborator}                              | collaborators.show              | App\Http\Controllers\Colaborador\CollaboratorController@show                      | web,can:view,collaborator                                                              |
|        | GET|HEAD  | collaborators/{collaborator}/events                       | collaborators.events.index      | App\Http\Controllers\Colaborador\CollaboratorEventController@index                | web,can:view,collaborator                                                              |
|        | GET|HEAD  | collaborators/{collaborator}/events/{event}               | collaborators.events.show       | App\Http\Controllers\Colaborador\CollaboratorEventController@show                 | web,can:view,collaborator                                                              |
|        | GET|HEAD  | collaborators/{collaborator}/subevents                    | collaborators.subevents.index   | App\Http\Controllers\Colaborador\CollaboratorSubeventController@index             | web,can:view,collaborator                                                              |
|        | GET|HEAD  | collaborators/{collaborator}/subevents/{subevent}         | collaborators.subevents.show    | App\Http\Controllers\Colaborador\CollaboratorSubeventController@show              | web,can:view,collaborator                                                              |
|        | GET|HEAD  | contacto                                                  | contacto.formulario             | App\Http\Controllers\ContactoController@contacto                                  | web                                                                                    |
|        | POST      | contacto                                                  | contacto.mensaje                | App\Http\Controllers\ContactoController@enviarMensaje                             | web                                                                                    |
